,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[638, 267, 298, 372]",0.03,0.0,0.07,0.13,0.22,0.01,0.54
1,"[650, 272, 295, 363]",0.03,0.0,0.05,0.36,0.13,0.01,0.42
2,"[660, 273, 292, 357]",0.05,0.0,0.1,0.18,0.21,0.02,0.44
3,"[656, 268, 297, 362]",0.03,0.0,0.08,0.12,0.18,0.01,0.59
4,"[1203, 163, 33, 42]",0.16,0.0,0.12,0.06,0.38,0.02,0.26
5,"[1213, 229, 24, 35]",0.11,0.0,0.12,0.25,0.17,0.02,0.34
6,"[1216, 159, 22, 28]",0.17,0.12,0.12,0.19,0.11,0.04,0.25
7,"[1212, 160, 25, 31]",0.16,0.05,0.18,0.14,0.07,0.08,0.32
8,"[1216, 161, 23, 32]",0.16,0.04,0.13,0.18,0.11,0.02,0.35
9,"[756, 270, 321, 402]",0.08,0.0,0.23,0.05,0.43,0.01,0.19
10,"[765, 266, 316, 396]",0.09,0.0,0.24,0.1,0.3,0.01,0.26
11,"[709, 345, 221, 282]",0.09,0.0,0.09,0.49,0.16,0.0,0.18
12,"[718, 340, 226, 281]",0.05,0.0,0.08,0.52,0.18,0.0,0.18
13,"[1205, 173, 28, 39]",0.12,0.0,0.17,0.08,0.43,0.01,0.19
14,"[772, 415, 226, 262]",0.06,0.0,0.06,0.38,0.2,0.01,0.29
15,"[806, 426, 228, 260]",0.06,0.0,0.22,0.07,0.18,0.02,0.45
16,"[610, 307, 190, 227]",0.13,0.0,0.2,0.16,0.17,0.01,0.33
17,"[618, 299, 187, 224]",0.12,0.0,0.37,0.16,0.16,0.01,0.18
18,"[620, 300, 187, 224]",0.14,0.0,0.36,0.13,0.12,0.01,0.24
19,"[619, 302, 189, 225]",0.18,0.0,0.28,0.17,0.11,0.01,0.25
20,"[1220, 170, 19, 27]",0.12,0.01,0.27,0.22,0.17,0.07,0.14
21,"[1207, 168, 30, 43]",0.1,0.0,0.24,0.16,0.27,0.08,0.15
22,"[1216, 182, 26, 38]",0.09,0.01,0.11,0.11,0.31,0.04,0.34
23,"[299, 515, 80, 104]",0.13,0.0,0.1,0.13,0.35,0.07,0.22
24,"[1203, 161, 34, 42]",0.16,0.0,0.17,0.03,0.2,0.04,0.4
25,"[585, 563, 73, 96]",0.1,0.0,0.07,0.1,0.44,0.03,0.25
26,"[1215, 188, 23, 31]",0.17,0.0,0.08,0.11,0.18,0.02,0.44
27,"[1209, 172, 28, 39]",0.19,0.0,0.16,0.21,0.2,0.03,0.2
28,"[1214, 159, 25, 35]",0.11,0.02,0.18,0.14,0.22,0.03,0.29
29,"[1212, 160, 25, 32]",0.24,0.01,0.13,0.17,0.07,0.09,0.29
30,"[1210, 161, 26, 36]",0.11,0.0,0.09,0.08,0.11,0.03,0.58
31,"[1214, 161, 24, 30]",0.08,0.0,0.16,0.11,0.26,0.13,0.25
32,"[1192, 640, 22, 28]",0.38,0.02,0.04,0.14,0.15,0.17,0.11
33,"[822, 320, 312, 377]",0.03,0.0,0.14,0.0,0.25,0.0,0.57
34,"[816, 316, 316, 383]",0.06,0.0,0.18,0.01,0.25,0.0,0.48
35,"[1206, 162, 32, 47]",0.25,0.07,0.13,0.15,0.07,0.06,0.27
36,"[1220, 162, 20, 26]",0.16,0.04,0.16,0.17,0.17,0.02,0.28
37,"[1209, 161, 26, 31]",0.13,0.01,0.14,0.3,0.12,0.05,0.26
38,"[748, 324, 75, 93]",0.26,0.0,0.14,0.28,0.12,0.01,0.19
39,"[749, 325, 73, 90]",0.28,0.0,0.15,0.22,0.15,0.01,0.18
40,"[1210, 159, 28, 36]",0.11,0.0,0.13,0.6,0.07,0.03,0.07
41,"[446, 389, 355, 399]",0.08,0.0,0.2,0.03,0.19,0.03,0.48
42,"[463, 390, 333, 380]",0.11,0.0,0.21,0.05,0.08,0.08,0.47
